Season,Team,League,W,L,PCT,GB,Place,Attendance,Capacity,Playoffs,Champions
1962,New York Mets,National League,40,120,0.25,60.5,10,925807,56000,0,0
1963,New York Mets,National League,51,111,0.315,48,10,1077322,56000,0,0
1964,New York Mets,National League,53,109,0.327,40,10,1734389,55300,0,0
1965,New York Mets,National League,50,112,0.309,47,10,1755366,55300,0,0
1966,New York Mets,National League,66,95,0.41,28.5,9,1891634,55300,0,0
1967,New York Mets,National League,61,101,0.377,40.5,10,1565500,55300,0,0
1968,New York Mets,National League,73,89,0.451,24,9,1781657,55300,0,0
1969,New York Mets,National League,100,62,0.617,-,1,2174273,55300,1,1
1970,New York Mets,National League,83,79,0.512,6,3,2697456,55300,0,0
1971,New York Mets,National League,83,79,0.512,14,4,2313931,55300,0,0
1972,New York Mets,National League,83,73,0.532,13.5,3,2134194,55300,0,0
1973,New York Mets,National League,82,79,0.509,-,1,1914695,55300,1,0
1974,New York Mets,National League,71,91,0.438,17,5,1727328,55300,0,0
1975,New York Mets,National League,82,80,0.506,10.5,4,1751517,55300,0,0
1976,New York Mets,National League,86,76,0.531,15,3,1470364,55300,0,0
1977,New York Mets,National League,64,98,0.395,37,6,1062782,55300,0,0
1978,New York Mets,National League,66,96,0.407,24,6,1007867,55300,0,0
1979,New York Mets,National League,63,99,0.389,35,6,788764,55300,0,0
1980,New York Mets,National League,67,95,0.414,24,5,1178738,55300,0,0
1981,New York Mets,National League,41,62,0.398,18.5,5,701910,55300,0,0
1982,New York Mets,National League,65,97,0.401,27,6,1320469,55300,0,0
1983,New York Mets,National League,68,94,0.42,22,6,1099876,55300,0,0
1984,New York Mets,National League,90,72,0.556,6.5,2,1829481,55300,0,0
1985,New York Mets,National League,98,64,0.605,3,2,2751237,55601,0,0
1986,New York Mets,National League,108,54,0.667,-,1,2762417,55601,1,1
1987,New York Mets,National League,92,70,0.568,3,2,3027121,55601,0,0
1988,New York Mets,National League,100,60,0.625,-,1,3048530,55601,1,0
1989,New York Mets,National League,87,75,0.537,6,2,2916960,55601,0,0
1990,New York Mets,National League,91,71,0.562,4,2,2733555,55601,0,0
1991,New York Mets,National League,77,84,0.478,20.5,5,2284544,55601,0,0
1992,New York Mets,National League,72,90,0.444,24,5,1779534,55601,0,0
1993,New York Mets,National League,59,103,0.364,38,7,1873115,55601,0,0
1994,New York Mets,National League,55,58,0.487,18.5,3,1152161,55777,0,0
1995,New York Mets,National League,69,75,0.479,21,2,1273186,55777,0,0
1996,New York Mets,National League,71,91,0.438,25,4,1582648,55777,0,0
1997,New York Mets,National League,88,74,0.543,13,3,1775201,55777,0,0
1998,New York Mets,National League,88,74,0.543,18,2,2287942,55777,0,0
1999,New York Mets,National League,97,66,0.595,6.5,2,2726008,55777,1,0
2000,New York Mets,National League,94,68,0.58,1,2,2820530,55777,1,0
2001,New York Mets,National League,82,80,0.506,6,3,2658330,55777,0,0
2002,New York Mets,National League,75,86,0.466,26.5,5,2804838,56749,0,0
2003,New York Mets,National League,66,95,0.41,34.5,5,2205323,56749,0,0
2004,New York Mets,National League,71,91,0.438,25,4,2318321,57405,0,0
2005,New York Mets,National League,83,79,0.512,7,4,2829930,57369,0,0
2006,New York Mets,National League,97,65,0.599,-,1,3340386,57333,1,0
2007,New York Mets,National League,88,74,0.543,1,2,3853949,57333,0,0
2008,New York Mets,National League,89,73,0.549,3,2,4021534,57333,0,0
2009,New York Mets,National League,70,92,0.432,23,4,3135904,41800,0,0
2010,New York Mets,National League,79,83,0.488,18,4,2559738,41800,0,0
2011,New York Mets,National League,77,85,0.475,25,4,2352596,41800,0,0
2012,New York Mets,National League,74,88,0.457,24,4,2242803,41922,0,0
2013,New York Mets,National League,74,88,0.457,22,3,2136655,41922,0,0
2014,New York Mets,National League,79,83,0.488,17,2,2148808,41922,0,0
2015,New York Mets,National League,90,72,0.556,-,1,2569753,41922,1,0
2016,New York Mets,National League,87,75,0.537,8,2,2789602,41922,1,0
2017,New York Mets,National League,70,92,0.432,27,4,2460622,41922,0,0
2018,New York Mets,National League,77,85,0.475,13,4,2224995,41922,0,0
